method,seed,front_index,is_selected,raw_f1_iv,raw_f2_deg,raw_f3_cta,constraint_aware_f1_iv,constraint_aware_f2_deg,constraint_aware_f3_cta,norm_f1_iv,norm_f2_deg,norm_f3_cta,normalized_average
Knowledge-constrained NSGA-II,42,10,False,0.1281990110874176,0.010025345720350742,0.2517218291759491,0.1281990110874176,0.010025345720350742,0.2517218291759491,0.14301898698825433,0.09572562551292543,0.12874546341436366,0.1224966919718478
Knowledge-constrained NSGA-II,42,11,False,0.08599734306335449,0.011311665177345276,0.23841117322444916,0.08599734306335449,0.011311665177345276,0.23841117322444916,0.09593875010639204,0.10800786874572443,0.12193760501592821,0.10862807462268155
Knowledge-constrained NSGA-II,42,12,False,0.10955889523029327,0.011571760289371014,0.23412057757377625,0.10955889523029327,0.011571760289371014,0.23412057757377625,0.12222404898821176,0.11049135091043198,0.11974314008939446,0.11748617999601274
Knowledge-constrained NSGA-II,42,13,False,0.10390952229499817,0.01055690087378025,0.2654459774494171,0.10390952229499817,0.01055690087378025,0.2654459774494171,0.11592160104051409,0.1008011062969316,0.135764806294635,0.11749583787736023
Knowledge-constrained NSGA-II,42,14,False,0.12476204335689545,0.006748117972165346,0.40911078453063965,0.12476204335689545,0.006748117972165346,0.40911078453063965,0.1391847012245723,0.0644334701205638,0.20924350388934632,0.13762055841149415
Knowledge-constrained NSGA-II,42,15,False,0.114769347012043,0.00665647117421031,0.43924668431282043,0.114769347012043,0.00665647117421031,0.43924668431282043,0.12803683591422674,0.06355839335960042,0.22465678924313157,0.13875067283898623
Knowledge-constrained NSGA-II,42,16,False,0.09416894614696503,0.010585026815533638,0.26807335019111633,0.09416894614696503,0.010585026815533638,0.26807335019111633,0.10505500135649842,0.10106966295747827,0.13710860044351628,0.11441108825249764
Knowledge-constrained NSGA-II,42,17,False,0.1534774750471115,0.005722072906792164,0.3969998359680176,0.1534774750471115,0.005722072906792164,0.3969998359680176,0.17121967494574006,0.05463642087886821,0.2030492469582463,0.14296844759428487
Knowledge-constrained NSGA-II,42,18,False,0.062486402690410614,0.0072635142132639885,0.4731573164463043,0.062486402690410614,0.0072635142132639885,0.4731573164463043,0.06970991380915396,0.06935465976752313,0.24200069645607236,0.12702175667758317
Knowledge-constrained NSGA-II,42,19,False,0.15094280242919922,0.005769988056272268,0.387194961309433,0.15094280242919922,0.005769988056272268,0.387194961309433,0.16839199080772832,0.05509393204940247,0.1980344529065279,0.14050679192121956
Knowledge-constrained NSGA-II,42,20,False,0.06188437342643738,0.010872102342545986,0.29409050941467285,0.06188437342643738,0.010872102342545986,0.29409050941467285,0.06903828916290748,0.10381076387900821,0.15041531775098016,0.10775479026429861
Knowledge-constrained NSGA-II,42,21,False,0.07364854216575623,0.011935122311115265,0.26862162351608276,0.07364854216575623,0.011935122311115265,0.26862162351608276,0.08216241142863222,0.11396086286436914,0.13738901991898098,0.11117076473732745
Knowledge-constrained NSGA-II,42,22,False,0.15818500518798828,0.006981909740716219,0.32322609424591064,0.15818500518798828,0.006981909740716219,0.32322609424591064,0.17647140182143162,0.0666657984520323,0.16531698274851314,0.136151394340659
Knowledge-constrained NSGA-II,42,23,False,0.08380163460969925,0.007386672776192427,0.4304564893245697,0.08380163460969925,0.007386672776192427,0.4304564893245697,0.09348921484009277,0.07053062225325228,0.22016096251658288,0.12806026653664263
Knowledge-constrained NSGA-II,42,24,False,0.08504074066877365,0.010777332819998264,0.2610616385936737,0.08504074066877365,0.010777332819998264,0.2610616385936737,0.09487156320484721,0.10290587021464044,0.13352239553671166,0.11043327631873312
Knowledge-constrained NSGA-II,42,25,False,0.1324346512556076,0.00612723408266902,0.4124346673488617,0.1324346512556076,0.00612723408266902,0.4124346673488617,0.14774427278385394,0.05850504626857772,0.21094353457467843,0.13906428454237005
Knowledge-constrained NSGA-II,42,26,False,0.13497494161128998,0.007437607739120722,0.33714258670806885,0.13497494161128998,0.007437607739120722,0.33714258670806885,0.15057822407758106,0.07101696769437668,0.17243470184744236,0.13134329787313337
Knowledge-constrained NSGA-II,42,27,False,0.11885130405426025,0.009501335211098194,0.26227903366088867,0.11885130405426025,0.009501335211098194,0.26227903366088867,0.13259067261043492,0.09072218371922021,0.13414504353112697,0.11915263328692738
Knowledge-constrained NSGA-II,42,28,False,0.10422026365995407,0.011276503093540668,0.24539439380168915,0.10422026365995407,0.011276503093540668,0.24539439380168915,0.11626826451985275,0.10767212845701785,0.12550923792629076,0.1164832103010538
Knowledge-constrained NSGA-II,42,29,False,0.08455058932304382,0.011730889789760113,0.2669827342033386,0.08455058932304382,0.011730889789760113,0.2669827342033386,0.0943247497127415,0.1120107769120096,0.13655079478473325,0.11429544046982813
Knowledge-constrained NSGA-II,42,30,False,0.14113079011440277,0.005999511107802391,0.3462444245815277,0.14113079011440277,0.005999511107802391,0.3462444245815277,0.15744569684122053,0.05728550112743999,0.17708992121708148,0.13060703972858068
Knowledge-constrained NSGA-II,42,31,False,0.06489908695220947,0.0077545056119561195,0.4511648714542389,0.06489908695220947,0.0077545056119561195,0.4511648714542389,0.07240150757511278,0.0740428231558303,0.23075245655813625,0.12573226242969313
Knowledge-constrained NSGA-II,42,32,False,0.09206029772758484,0.008088354952633381,0.30975669622421265,0.09206029772758484,0.008088354952633381,0.30975669622421265,0.10270259038003235,0.07723053736089121,0.15842793424647042,0.11278702066246467
